,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,179.86,187.33,179.25,185.85,102551680.0,187.33,179.25,185.85,179.86,102551680.0,1.0,0.0,AAPL,XNAS,2024-02-02
1,403.81,412.65,403.56,411.22,28256670.0,412.65,403.56,411.22,403.81,28256670.0,1.0,0.0,MSFT,XNAS,2024-02-02
2,183.985,186.95,183.82,186.86,64885406.0,186.95,183.82,186.86,183.985,64885408.0,1.0,0.0,AAPL,XNAS,2024-02-01
3,401.83,408.0,401.8,403.78,30657730.0,408.0,401.8,403.78,401.83,30657726.0,1.0,0.0,MSFT,XNAS,2024-02-01
4,187.04,187.095,184.35,184.4,55467801.0,187.095,184.35,184.4,187.04,55467803.0,1.0,0.0,AAPL,XNAS,2024-01-31
5,406.96,415.32,397.21,397.58,47871102.0,415.32,397.21,397.58,406.96,47871097.0,1.0,0.0,MSFT,XNAS,2024-01-31
6,190.94,191.8,187.47,188.04,55859367.0,191.8,187.47,188.04,190.94,55859370.0,1.0,0.0,AAPL,XNAS,2024-01-30
7,412.26,413.05,406.4501,408.59,33477609.0,413.05,406.4501,408.59,412.26,33477610.0,1.0,0.0,MSFT,XNAS,2024-01-30
8,192.01,192.2,189.58,191.73,47145621.0,192.2,189.58,191.73,192.01,47145622.0,1.0,0.0,AAPL,XNAS,2024-01-29
9,406.06,409.98,404.33,409.72,24510240.0,409.98,404.33,409.72,406.06,24510236.0,1.0,0.0,MSFT,XNAS,2024-01-29
10,194.27,194.76,191.94,192.42,44594000.0,194.76,191.94,192.42,194.27,44594011.0,1.0,0.0,AAPL,XNAS,2024-01-26
11,404.37,406.17,402.43,403.93,17803270.0,406.17,402.43,403.93,404.37,17803271.0,1.0,0.0,MSFT,XNAS,2024-01-26
12,195.22,196.27,193.11,194.17,54822100.0,196.2675,193.1125,194.17,195.22,54822126.0,1.0,0.0,AAPL,XNAS,2024-01-25
13,404.32,407.01,402.5294,404.87,21021160.0,407.01,402.5294,404.87,404.32,21021155.0,1.0,0.0,MSFT,XNAS,2024-01-25
14,195.42,196.38,194.34,194.5,53631300.0,196.38,194.34,194.5,195.42,53463269.0,1.0,0.0,AAPL,XNAS,2024-01-24
15,401.54,405.63,400.45,402.56,24866949.0,405.63,400.45,402.56,401.54,23281889.0,1.0,0.0,MSFT,XNAS,2024-01-24
